,Datetime,Tweet Id,Text,Username
62,2021-03-15 07:10:43+00:00,1371358182132477954,कोरोना टीकाकरण से पहले रजिस्ट्रेशन जरुरी है। 60 वर्ष से अधिक उम्र से अधिक के बुजुर्ग और गंभीर बीमारी से ग्रस्त 45+ लोगों को    के लिए रजिस्ट्रेशन   पर करना होगा। आप   के जरिए भी रजिस्ट्रेशन कर सकते हैं।    ,CollectorPanna
63,2021-03-15 02:00:13+00:00,1371280041900965889,"टीकाकरण के बाद भी मास्क पहनना जरुरी है। कोरोना का खतरा अभी पूरी तरह से खत्म नहीं हुआ है।

याद रहे कि अब हमें दवाई के साथ-साथ कड़ाई भी रखनी है।      ",irahulharoli
64,2021-03-14 15:49:51+00:00,1371126437088956417,देश में   की बड़ी उपलब्धि! देश में अब तक 3 करोड़ से अधिक कोविड-19 वैक्सीन के डोज दिए जा चुके हैं।   से जुड़ी नवीनतम जानकारी के लिए विजिट करें:      ,nareshkumbhani
65,2021-03-14 15:31:47+00:00,1371121889276354560,"विश्व के सबसे बड़े टीकाकरण अभियान से कोरोना पर काबू पा रहा भारत।

12 मार्च को लगे 20.53 लाख से अधिक टीके।

अब तक देश में 2.82 करोड़ से अधिक लोगों का टीकाकरण हो चुका है।

     ",pawan_mish
66,2021-03-14 14:24:12+00:00,1371104883965792257,"विश्व के सबसे बड़े टीकाकरण अभियान से कोरोना पर काबू पा रहा भारत।

12 मार्च को लगे 20.53 लाख से अधिक टीके।

अब तक देश में 2.82 करोड़ से अधिक लोगों का टीकाकरण हो चुका है।

     ",randhir_oracle
67,2021-03-14 14:08:13+00:00,1371100859845722117,"71 देश और 58 मिलियन डोजेज, भारत की वैक्सीन डिप्लोमेसी को क्वाड बूस्टर मिला 
 
 
  via NaMo App  ",BjymGmail
68,2021-03-14 12:19:37+00:00,1371073531178487810,भारत में   के तहत 57 दिनों में 2.9 करोड़ से अधिक लाभार्थियों को कोविड-19 के टीके लगाए गए हैं।   से जुड़ी नवीनतम जानकारी के लिए विजिट करें:      ,SimantSbjp
69,2021-03-14 09:01:51+00:00,1371023758375284742,"विश्व के सबसे बड़े टीकाकरण अभियान से कोरोना पर काबू पा रहा भारत।

12 मार्च को लगे 20.53 लाख से अधिक टीके।

अब तक देश में 2.82 करोड़ से अधिक लोगों का टीकाकरण हो चुका है।

  
  
   
   ",sanwalaramm
70,2021-03-14 08:41:50+00:00,1371018721410490369,"विश्व के सबसे बड़े टीकाकरण अभियान से कोरोना पर काबू पा रहा भारत।

12 मार्च को लगे 20.53 लाख से अधिक टीके।

अब तक देश में 2.82 करोड़ से अधिक लोगों का टीकाकरण हो चुका है।

     ",Mohanprasad879
71,2021-03-14 08:38:16+00:00,1371017827151351809,"विश्व के सबसे बड़े टीकाकरण अभियान से कोरोना पर काबू पा रहा भारत।

12 मार्च को लगे 20.53 लाख से अधिक टीके।

अब तक देश में 2.82 करोड़ से अधिक लोगों का टीकाकरण हो चुका है।

     ",SandipGuddu1
